,제목,주소,조회수,좋아요,싫어요,댓글수,본문내용
10,민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,/watch?v=aqpqoNk7GTs,"7,266,546",110000,2100,20,"Job것들아,,,,,♥인력소장이다~~~~~,,, 😎 😎 😎우리 잡것들~ 구독자덕분에,,,,~ 벌써 290만~!!!!!!,,구독자,,,!넘었네~~~~300만~~~~ 구독자 달성,,~을 기원하면서,,,,우리 잡것들이 엄청,,,나게 원했던 민속촌 알바!!!~가져왔으~~~! 고오마워어~~~~  워크맨 workman 장성규 민속촌 민속촌캐릭터알바 꽃거지직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
11,⚠안전제일 ⚠ Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21,/watch?v=RjGbCptFlFM,"7,022,861",110000,2100,20,"Job것들아~~~~~~,,, 인력소장이다,,, 😎😎😎진짜,,,,건설현장 매애애앤~~~ 꼭대기 안,,,,올라가본 사람들은 모를겨,,,,,참말로 오줌~나오겄으,,,, 우리 성규인력도 로프태울랬는디 안전이 제일이라가지고~!! 넘 힘든거시키지말어죠,,,,, 인력소장인 나두 힘들어,,,,,,, ~~~!!!  워크맨 workman 장성규 건설현장 일용직 안전제일직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
12,🎶퇴근 후 라이브🎶 올ㅋ? 웃음기 싹 뺀 장성규 의외의 노래실력 '소주한잔 & 말리꽃' 열창 LIVE,/watch?v=JX3X5W8HylE,"2,655,315",54000,772,20,"JOB것들아~~~,,인력소장이다 ㅎㅎㅎㅎ~~~~~!!!!😎편집할러다가,,, 나만보기롱 너무~아까워서~~~풀영상으로 올려븐다!! 워크맨 workman 장성규 술집 술집알바 노래방라이브 임창정 소주한잔 이승철 말리꽃"
13,비오면 X을 싼다고요...? 역대급 정신없음류 甲 난이도⭐️X100 대환장 술집 알바 리뷰 | 워크맨 ep.20,/watch?v=KVGK856HUjE,"7,595,241",97000,2400,20,"JOB것들아~~~,,인력소장이다 ㅎㅎㅎㅎ~~~~~!!!!😎술은~ㅎ 일하다가,, 새참이랑~~마시는 막걸리가 크,,,최고인디,,,~~,술아까우니까,,,,,흘리지말고……~,,, 술집 알바들 괴롭히지말어~ 다 우리 인력들이여!  마!  워크맨 workman 장성규 술집 술집알바 노래방직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
14,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",/watch?v=k5YaBcEBtGQ,"6,789,943",95000,1500,20,"인력소장이다~,,잡것들아,,,,ㅎㅎㅎㅎ 😎 우리 잡것들도,,, 방송국가서 아이도루~~인지 연예인인지덜 많이 보고,,,~~~ 나때는 말이야,,,,~!!!  그런것도 없었으~!!!    워크맨 workman 장성규 방송국 런웨이브 조연출 NCTDREAM nct 소유 규현직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
15,🎉200만 구독자 특집이 되어버린 에버랜드 2탄!! 🎉 역대급 초과근무에 파업 선언 릴레이?! (feat. 뒤늦은 골드버튼 언박싱)ㅣ워크맨 ep.18,/watch?v=tQjfEFg1DR8,"8,794,680",140000,2300,20,"우리 잡것들♥이 계속~~메시지 보내고,,, 에버랜드 2,탄 언제나오냐꼬,,,,!!!ㅎㅎ울 고급 인력 장성규가~~힘들어죽겄다고,~~~~!!!!,,,인력소 나간다고 파업하는걸 겨우 말렸다,,,,!!200만 구독자~ 만들어줘서 진짜루,,,고맙구덜,,,~~!! 앞으로도,,, 잘~,,, 부탁헌다,,,ㅎㅎ 워크맨 workman 장성규 에버랜드 티익스프레스 호러메이즈직업리뷰 알바리뷰 장성규 스튜디오룰루랄라 에버랜드2탄"
16,장성규 카트라이더 🌈무지개장갑썰 ㄹㅇ이었네? 놀면서 돈벌기 끝판王 게임회사 리뷰ㅣ워크맨 ep.17,/watch?v=ufV7PIokoT0,"7,962,685",120000,2000,20,"잡것들아~~~,,,, 이백만 구덕자 만들어죠서 고오맙다~~ㅎㅎ느그덜 모가지빠지게,, 기다리게해서 미안흔디 에벌랜드편 다음주에 나온다,,,,!! 워크맨 workman 장성규 게임회사 넥슨 메이플 카트라이더 피파 바람의나라직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
17,🔥구독자 요청 폭주🔥편돌이 시켰더니 먹방만 남아버린 국민 알바 편의점 알바 리뷰 ㅣ워크맨 ep.16,/watch?v=8NH2FBXUOt4,"8,322,788",100000,3600,20,"나 20,대인데,,,,,,요즘 내 동년배들 싹다 편의점 알바한다,,,~~~ 우리잡것들,,,, 알바하는 펴니점에서 진상 부리면 나한테 호오오온~~~나,,,!!!편돌이,,, 편순이,,,한테 동전,던져뿌면 아주기냥 @$%!,,,~~~~~~ 워크맨 workman 장성규 편의점 GS25 편돌이 편의점 알바 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라"
18,※기내 💊류 반입 금지※ 약 빤 장성규의 꿈의 직장★ 상큼터지는 항공사 직업 리뷰ㅣ워크맨 ep.15,/watch?v=m8JrVquHNsY,"10,784,974",130000,3000,20,꿈의 직장이었다는 항공사 입성하고 알바 내내 웃음 만개한 ★고졸 前아나운서 장성규★7:34 그 와중에 공항에서 에버랜드 추억팔이 무엇ㅋㅋㅋㅋㅋㅋ  워크맨 workman 장성규 항공사 이스타항공 지상직직업리뷰 알바리뷰 장성규 스튜디오룰루랄라
19,🎉구독자 100만 기념 역대급 레전드🎉 인싸계 최종보스몹 에버랜드 알바 리뷰 1편 (feat.아마존 익스프레스)ㅣ워크맨 ep.14,/watch?v=UQYCWLrCUy4,"13,875,230",180000,3000,20,영상 시작부터 끝까지 버릴 게 1도 없다는⭐워크맨 역대급 레전드 회차 등장⭐(feat. 워크맨 유튜브 실버 버튼 개봉기)긴말 안 합니다 영상으로 확인하세요( ͡° ͜ʖ ͡°) ~ㅎ+) 에버랜드 2탄은 추석에 나옴ㅇㅇ 잡것들아 조금만 기다려줘~!!❤️ 워크맨 workman 에버랜드 알바 직업리뷰 알바리뷰 장성규 스튜디오룰루랄라
