,제목,주소,조회수,좋아요,싫어요,댓글수,본문내용
96,"[이벤트] 몰아보기 하면서 배꼽 잡고, 선물도 잡으세요",/watch?v=BwLNQPakrF8,"109,221",4100,13,211,"펭하- 여러분들의 성원에 힘입어자이언트펭TV가 특별편성이 되었습니다18일, 25일 토요일 10시-12시에EBS 1TV에서 몰아보기를 할 수 있습니다몰아보기 본방사수를 하고 인증샷을 공식 홈페이지 게시판에 올려주시는 분들께 추첨을 통해 펭수 기념품(스티커, 티셔츠 등)을 드립니다많은 참여 바랍니다."
97,[EP.14] 민속촌에서 배운 숨멎 고백법 (ft. 펭수에게 좋아하는 사람이 생겼다),/watch?v=yq-UWduZunc,"845,613",12000,229,691,10살이고! '펭귄인' 펭수에게 '좋아하는' '사람'이 생겼다고?! 나이와 종을 초월한 펭수의 비밀스런 러브레터!!
98,"[EP.13] ※소름주의※ _""그러니까 초딩은 건드리지 말았어야지!""_민속촌에서 펭수 멘붕 온 썰.txt",/watch?v=8mVOs1ijml0,"930,912",18000,161,"1,028","평소와 같이 사람들의 관심을 탐하는 펭수, 오늘은 SNS서 핫하다는 한국민속촌을 습격!.....하려했지만오히려 열성 팬들에게 습격을 당하고 마는데....""그러니까 초딩은 건드리지 말았어야지!"""
99,"오늘은 펭수가 매니저 일 다한다고요. 아.시.겠.어.요? ""펭수, 매니저 되다!"" [EP.12]",/watch?v=0G1S_EXmKMA,"1,032,035",19000,211,"1,469","매니저의 매니저가 된 펭수! 출근길 셔틀카트(?)는 물론화장실 휴지 배달 서비스까지!""펭치만.. 이렇게라도 하지 않으면 매니저 날 바라봐주지 않는걸.."""
100,"뜻밖의 팬미팅? 금손 성덕 파티, 제1회 펭수 표현하기 대회 [EP.11]",/watch?v=D6RANSwSGsk,"963,621",18000,424,"1,297","금손도, 똥손도 위아더 월드. ""제1회 펭수 표현하기 대회""그림은 물론 미디어 아트까지;; 펭수 덕질 안해도 잘 사실 것 같은금손 펭님들의 예술적인 파티!"
101,"[홍대 댄스배틀] EBS 펭귄 ""펭수"" VS 스트릿 댄서 ""쿠마""",/watch?v=81xgDxgCm9Y,"238,962",7800,45,626,EBS 데뷔조 펭수의 소름 돋는 댄스 버스킹!2:20 펭수 바디뭅 실화?*안내사항: 실수로 매니저가 영상을 지워버려서 다시 올립니다.*
102,연습생이라면 버스킹은 해봐야지! 거대 펭귄 홍대 습격사건! [EP.10],/watch?v=6019qmgaEqE,"507,441",12000,92,794,"연습생이라면 버스킹은 해봐야지! 펭수 홍대가다!!음악으로 하나가 되는 인간과 펭귄, 한국과 남극!지금까지 이런 버스킹은 없었다! 이곳은 홍대인가 알프스인가...!#확실한건#남극은#아님"
103,EBS 지하 소품실에 펭귄이 산다고?! 펭수의 은밀한 사생활 드디어 대.공.개! [EP.09],/watch?v=pNeIhWlUegg,"695,716",16000,242,"1,164","펭수의 홈 스윗 홈은 지하 소품실?! EBS 직원 복지 실화냐...침실공개부터 하드 트레이닝과 회의, 편집까지!!스페셜 게스트와 함께하는 펭수의 은밀한 사생활 대공개!!기대하 show show show~"
104,"펭수의 오열파티T.T  ""펭수VS뽀로로"" 최종화 [EP-08] (2)",/watch?v=SlE2obDknfA,"704,123",12000,205,"1,162",(눈물주의) ~ 뽀로로 VS 펭수 - 엔드게임 ~진짜 펭귄 겨루기 후반전! 그리고 오열하는 뽀로로와 펭수 ㅠ.ㅠ#매니저도오열
105,뽀로로는 펭귄이 아니라고?! 펭귄 전문가 등장! [EP-08] (1),/watch?v=-mpxZhhRTsk,"497,519",7700,172,635,뽀로로는 펭귄이 아니라는 것이 학계의 정설(?)와중에 뽀로로 놀리는 펭수 펭성 실화..? #출생의비밀
106,"오랬더니 진짜 왔다??! 펭수VS뽀로로, 배틀 스타트! [EP.07-2]",/watch?v=jBw4SQ3Iuto,"956,793",14000,455,"1,815",4월 23일 펭귄의 날! 이를 대표할 진ㅉr 펭귄은 뽀로로?? 펭수?? #핑구아니야 #국산펭귄사랑
107,"우주 전쟁의 서막? 펭수, 중대 발표!!!(feat. 초특급 게스트) [EP.07-1]",/watch?v=Z59AWTiWvuA,"229,912",5400,24,494,"참치 비린내 나는 전쟁의 서막, 갑자기 전투신청 날리는 펭수!펭귄의 날 특집(feat.뽀로로) (1)#펭수vs뽀로로 #뽀로로vs펭수 #누굴먼저써야해ㅡㅡ"
108,펭수 구독자 3천 돌파 기념 댓글 읽기,/watch?v=tpWSxSp2TlA,"398,646",11000,60,985,펭수는 여러분이 올려주시는 댓글 하나 하나 다~ 보고 있답니다.앞으로도 소통하는 펭수 될게요!댓글 많이 많이 올려주세요~!
109,시민들의 벚꽃놀이 인생샷 대방출 [EP.06-2] (자이언트 펭TV),/watch?v=UPs8t8AmmqQ,"340,026",8800,43,505,217cm 217cm 펭수도 다리가 길어 보이고 싶다고요!펭수에게 시민들이 전하는 인생샷 꿀팁 대방출!펭수에게 시민들이 전하는 인생샷 꿀팁 대방출!
110,"벚꽃이 초면인 관종 펭귄, 인생샷 건지러 가다! [EP.06-1]",/watch?v=-QU-X6r8XbY,"481,001",11000,80,658,~ 피 드 백 천 사 펭 수 ~펭수 프로필 사진이 무섭다는 댓글이 있길래.매니저 끌고 벚꽃 화보 촬영 다녀왔쟈나~♪#펭뜌는기여오 #얼굴장인 #세젤귀 #니얼굴말고ㅎ
111,"펭수 VS 흔한남매 두 번째! 피도 눈물도 없는 펭수, 결국 에이미를 울리다?! [EP.05-2]",/watch?v=iJ4M8T_iuhU,"571,429",12000,287,720,계속해서 이어지는 펭수와 흔한남매의 대결! 피도 눈물도 없는 펭수의 강력함 앞에 위기를 맞은 흔한남매의 운명은?!
112,드디어 공개 된 비책! 펭수 vs 흔한남매 첫번째 크리에이터력 대결 [EP.05-1],/watch?v=O98-i0xDcoc,"451,758",9600,257,381,드디어 시작 된 펭수와 흔한남매의 크리에이터력 대결!!하지만 아무리 으뜸이 노력해도 펭수의 눈에는 OO만 보이는데....
113,거대 펭귄의 눈물 젖은 샌드위치 먹방! 펭수 흔한남매 만나다(2) [EP.04-2],/watch?v=iV8j2ZsOYzE,"292,398",5000,68,261,흔한남매와 함께하는 크리에이터 체험!유*브를 지배하는 펭귄 크리에이터의 길은 험난하구나..!
114,어디선가 100만 구독자의 냄새가 난다! 펭수 두 번째 스승 흔한남매 만나다!(1) [EP.04-1],/watch?v=FSYsJeLc7po,"310,650",7100,69,461,전지영 스승님의 도움으로 [혜성]처럼 [전진]하는 펭수의 앞에 나타난 흔한남매! 두번째 스승님과 함께 인기 크리에이터의 길을 향해 나아가자!
115,전지영 스승님....펭수도 '인싸'이더가 되고싶어요!! [EP.03-2],/watch?v=H_Xxd1ojJSo,"305,838",7100,55,393,전지영 스승님의 특강은 계속된다!하지만 펭수에겐 수업이 쉽지만은 않은데....선생님 농구가....아니 춤이 추고 싶어요..!
116,특단의 조치?! 관종 펭귄 SNS 스타 전지영을 만나다! [EP.03-1],/watch?v=ZWczOdyGOno,"470,869",11000,155,583,"구독자를 더 끌어모으기 위해 특별한 스승님을 찾아나선 펭수,첫번째 스승 전지영 스승님과 함께 온라인 '인싸'이더가 되기 위한 날개짓이 시작된다!"
117,[매니저직캠] 거대 펭귄의 소름돋는 요들송 라이브,/watch?v=u34zfKyfrC0,"486,891",18000,42,685,"펭-하! 펭수 매니저입니다.이번엔 펭수님께서 요들송 버스킹에 도전했는데요.잘 부르는 건지 모르.. 아, 이게 아니지.. 천상의 목소리임이 틀림없네요^^!"
118,"""2m 10cm 전학생  VS 교장선생님?"" 펭수, 교장실 급습! [EP.02]",/watch?v=2gg1QKk7fjw,"603,726",14000,149,"1,236",(공지) 채널 이름은 팬ㅌ..아니고 자이언트 '펭TV'입니다. 발음 주의.깜짝 인기에 기세등등한 펭수! 친구들의 소원을 들어주기 위해교장실을 급습하고 맙니다.옆에 있던 매니저는 펭수가 교장 선생님께 반모 신청할까 심장이 오지게 떨렸다는 후문-▦펭수 구독자 꿀팁: 딜을 할 때에는 일단 높게 부르는 것이 좋습니다.
119,"""관종 펭귄, 초등학교 습격?"" 펭수, 학교 가다! [EP.01]",/watch?v=M-52pdhp-ao,"977,852",23000,328,"1,652","""평화로운 5학년 교실에 자이언트 펭귄이 나타났다! ""포스트 뽀로로가 되기 위해 남극에서 헤엄쳐온 펭수,일산초 초딩들의 덕심을 사로잡을 수 있을까? ◍EBS의 연습생 '펭수' 데뷔 에피소드! ヾ(●’∀’●)ﾉ"
120,관종 펭귄 '펭수' EBS 데뷔 D-3!! teaser.2 [자이언트 펭TV],/watch?v=ErO16Y9sE8Q,"392,650",8200,39,213,☆우리 펭수 꽃길만 걸어☆펭수 EBS 데뷔 D-3 실화?![자이언트 펭TV] EBS 1tv 4월 2일 18시 45분 첫 방송!
121,"'EBS 연습생 펭귄, 방송국 점거??' [자이언트 펭TV] teaser.1",/watch?v=4vkzT47_Vdg,"470,780",8800,43,215,"[펭수 데뷔 D-6]210cm 자이언트 펭귄 '펭수' 매니저예요.펭수 연습생님의 회사 정복 영상을 소소하게 만들어봤어요^_^[자이언트 펭TV] EBS 1tv 4월 2일, 18시 45분 첫 방송!~우리 펭수 데뷔 방송 잊지 말아주라규! ~"
122,[펭TV] EBS 연습생 펭수 유튜브 데뷔💜 머랭쿠키 먹방,/watch?v=XeH_8w4AWS4,"620,935",12000,82,731,안녕하세요. 펭수 팬 여러분 펭수예요.유튜브 첫 영상으로 머랭쿠키 먹방 찍어봤어요.지나치게 단 건 몸에 좋지 않아요. 명심해요.펭수 팬 여러분 사랑해요♡
