,제목,주소,조회수,좋아요,싫어요,댓글수,본문내용
22,F/W 신상 타이틀곡 뮤직비디오 챌린지,/watch?v=ri5XpIgmoG8,"205,838",6300,25,809,"■자이언트 펭TV 타이틀곡 가사워-오- 자이언트 펭TV워-오- 자이언트 펭TV아아 놀랐다면 미안 이런 펭귄 처음이지 자이언트 펭~펭~에~(SOO) 남극에선 혼자였지 남과 다른 덩치 원래 그래 특별하면 외로운 별이 되지 한국에선 노는 게 제일 좋은 펭귄 뿌르르? 삐리리? 암튼 스타라며 노는 건 내가 제일인데 한 번 볼래 아 구걸하려던 건 아냐 자이언트 펭TV 음 그래도 구독하면 내가 잘할게 난 너의 평생 친구 자이언트 펭수 워-오- 자이언트 펭TV워-오- 자이언트 펭TV난 하나뿐인 210cm자이언트 펭귄 크리에이터 펭 펭!Yo, 자이언트 펭TV, Let's 구독"
23,[Ep.55] 교감 선생님 풀장에 빠뜨린 SSUL,/watch?v=A3_UpfZ1-pE,"528,890",13000,134,"2,889",펭수가 동수초등학교에서 혁신을 일으킨다는데.. 과연 어떤 혁신들을 준비했을까?
24,펭수가 갑자기 뱀에 물렸다 (feat. 도와줘요119),/watch?v=V4Jh4lNDFfk,"328,152",12000,47,"1,922",여러분들의 안전은 펭수한테 맡겨!
25,우리 펭수가 눈물이 많아졌어요 [펭귄극장EP1_펭귄의 눈물],/watch?v=AkNQlVM4DrU,"811,194",25000,141,"4,194",펭수가 눈물이 많아진 이유아무에게도 말 못할 속사정지금 공개합니다
26,[Ep.54] 펭슈스가 엄선한 수학여행 옷 추천,/watch?v=WpfexQQkmP4,"548,842",13000,95,"2,069",수학여행의 최대 난제 ! 수학여행 패션을 펭슈스가 직접 집도(?) 한다! 그리고 특별 게스트 임휘순 패션멘토와 함께하는 패션대결까지!
27,[Ep.53] 펭수.한다.소방관.,/watch?v=7SKjzUC77xg,"831,569",19000,183,"2,599","펭수가 시민을 위해 일일 소방관으로 임명이 되었다! 심폐소생술, 화재진압그리고 들어온 긴급신고로 말벌집 제거 출동까지 하는 펭수의 기상천외한 일일 소방 활약!"
28,펭수가 무대를 뒤집어 놓으셨다...! (a.k.a. 준비된 EBS 연습생),/watch?v=yj_lTuH9qds,"437,350",14000,69,"2,283",나 펭수...언제나 준비된 EBS 연습생뮤직 큐
29,EBS 옥상에서 뚝딱이 선배님을 만났다 (feat. 역대급 깜짝손님),/watch?v=yN7wrzXtIWM,"1,744,755",36000,363,"6,503",E육대 끝나고 EBS 옥상에서뚝딱이 선배님 마주침;
30,[펭수쇼2부] 펭수의 찰떡장르 최초공개![Ep.52],/watch?v=33nLNnZrBhE,"490,831",12000,85,"2,243","펭수쇼의 나머지 공연 발라드,락,힙합 공연이 시작됩니다"
31,[펭수쇼 1부] 당신의 펭수를 선택해주세요![Ep.51],/watch?v=vlqaa_YxxBE,"556,099",14000,104,"1,545","펭수가 드디어 공연을 한다! 트로트, 발라드, 락, 힙합 펭수에게 어울리는 장르는 ?!!"
32,[직캠_힙합] 펭수 - 기리보이/눈 Feat.매니저 (COVER)투표마감(선공개),/watch?v=8eIsC_9hXy0,"576,409",13000,142,"1,553",펭수가 랩을 합니다.강현준 - 눈(Prod.기리보이) 입니다. 푸쳐핸섭!!힙합이 좋은 분들은 투표해주세요!!! :)
33,[직캠_발라드] 펭수X뚝딱이 - 아이유&임슬옹/잔소리 (COVER) 투표마감(선공개),/watch?v=JgfXjuxnrYM,"357,439",9000,39,"1,146",펭수X뚝딱이가 아이유X임슬옹 - 잔소리를 불렀습니다!!발라드 맞습니다ㅎㅎ 잔소리 직캠 풀영상!
34,EBS 최초 연습생 펭수의 오디션 합격 TIP *최초공개*,/watch?v=K_5lal40lCk,"3,211,652",49000,839,"3,125",내가 어떻게 EBS 연습생 됐는지 궁금하지?부끄럽지만 오디션 영상 공개할게다들 참고바람!
35,[직캠_트로트] 펭수 - 설운도/삼바의 여인(COVER) 투표마감(선공개),/watch?v=zWGdwGfzgnY,"313,329",7800,45,931,[직캠_트로트] 펭수 - 설운도/삼바의 여인(COVER)풀버전 영상입니다!
36,[직캠_락] 펭수 - Queen_We Will Rock You (COVER) 투표마감(선공개),/watch?v=I2nxlDdbY0U,"234,717",6200,24,797,펭수쇼 펭수 직캠영상!! 풀영상입니다!Queen-We Will Rock You (퀸 - 위 윌 락 유) 입니다.투표마감
